###############2021.07.26 - 20.02.18###############
step size(xStep:10,yStep:10) xlim:(-10,264), ylim:(0,213)
-10	0	-0.05
-10	10	-0.04
-10	20	-0.02
-10	30	0.00
-10	40	0.02
-10	50	0.03
-10	60	0.04
-10	70	0.05
-10	80	0.04
-10	90	0.05
-10	100	0.06
-10	110	0.05
-10	120	0.03
-10	130	0.02
-10	140	0.02
-10	150	0.02
-10	160	0.00
-10	170	0.01
-10	180	0.00
-10	190	-0.01
-10	200	-0.02
-10	210	-0.03
0	210	-0.02
0	200	-0.01
0	190	0.00
0	180	0.00
0	170	0.01
0	160	0.01
0	150	0.02
0	140	0.02
0	130	0.03
0	120	0.03
0	110	0.06
0	100	0.05
0	90	0.05
0	80	0.05
0	70	0.05
0	60	0.03
0	50	0.02
0	40	0.01
0	30	0.00
0	20	-0.02
0	10	-0.04
0	0	-0.05
10	0	-0.05
10	10	-0.04
10	20	-0.03
10	30	0.00
10	40	0.02
10	50	0.04
10	60	0.05
10	70	0.05
10	80	0.05
10	90	0.06
10	100	0.07
10	110	0.05
10	120	0.04
10	130	0.03
10	140	0.02
10	150	0.03
10	160	0.02
10	170	0.01
10	180	0.00
10	190	0.00
10	200	-0.02
10	210	-0.02
20	210	-0.03
20	200	-0.03
20	190	-0.02
20	180	-0.01
20	170	-0.01
20	160	0.01
20	150	0.02
20	140	0.02
20	130	0.02
20	120	0.03
20	110	0.05
20	100	0.05
20	90	0.05
20	80	0.05
20	70	0.04
20	60	0.03
20	50	0.03
20	40	0.01
20	30	-0.01
20	20	-0.02
20	10	-0.04
20	0	-0.05
30	0	-0.04
30	10	-0.03
30	20	-0.01
30	30	0.01
30	40	0.03
30	50	0.05
30	60	0.05
30	70	0.05
30	80	0.06
30	90	0.06
30	100	0.07
30	110	0.06
30	120	0.04
30	130	0.04
30	140	0.03
30	150	0.03
30	160	0.01
30	170	0.02
30	180	0.01
30	190	0.00
30	200	-0.02
30	210	-0.04
40	210	-0.04
40	200	-0.02
40	190	-0.01
40	180	0.00
40	170	0.00
40	160	0.01
40	150	0.03
40	140	0.03
40	130	0.03
40	120	0.04
40	110	0.06
40	100	0.06
40	90	0.05
40	80	0.05
40	70	0.05
40	60	0.24
40	50	0.03
40	40	0.02
40	30	0.00
40	20	-0.02
40	10	-0.04
40	0	-0.05
50	0	-0.05
50	10	-0.03
50	20	-0.01
50	30	0.01
50	40	0.02
50	50	0.03
50	60	0.03
50	70	0.05
50	80	0.05
50	90	0.05
50	100	0.05
50	110	0.24
50	120	0.05
50	130	0.04
50	140	0.03
50	150	0.02
50	160	0.02
50	170	0.01
50	180	0.00
50	190	-0.01
50	200	-0.03
50	210	-0.04
60	210	-0.04
60	200	-0.03
60	190	-0.02
60	180	0.02
60	170	0.16
60	160	0.00
60	150	0.02
60	140	0.03
60	130	0.03
60	120	0.04
60	110	0.04
60	100	0.04
60	90	0.04
60	80	0.04
60	70	0.04
60	60	0.03
60	50	0.02
60	40	0.01
60	30	0.00
60	20	-0.01
60	10	-0.04
60	0	-0.05
70	0	-0.05
70	10	-0.04
70	20	-0.02
70	30	0.00
70	40	0.02
70	50	0.02
70	60	0.24
70	70	0.04
70	80	0.04
70	90	0.04
70	100	0.04
70	110	0.04
70	120	0.04
70	130	0.01
70	140	0.01
70	150	0.01
70	160	0.00
70	170	-0.01
70	180	-0.02
70	190	-0.03
70	200	-0.04
70	210	-0.05
80	210	-0.05
80	200	-0.04
80	190	-0.03
80	180	-0.01
80	170	-0.01
80	160	0.00
80	150	0.64
80	140	0.02
80	130	0.02
80	120	0.04
80	110	0.04
80	100	0.04
80	90	0.04
80	80	0.04
80	70	0.04
80	60	0.03
80	50	0.02
80	40	0.01
80	30	0.00
80	20	-0.02
80	10	-0.02
80	0	-0.04
90	0	-0.05
90	10	-0.04
90	20	-0.02
90	30	-0.01
90	40	0.00
90	50	0.01
90	60	0.02
90	70	0.02
90	80	0.03
90	90	0.03
90	100	0.03
90	110	0.04
90	120	0.01
90	130	0.01
90	140	0.02
90	150	0.00
90	160	-0.01
90	170	-0.01
90	180	-0.03
90	190	-0.03
90	200	-0.06
90	210	-0.07
100	210	-0.07
100	200	-0.07
100	190	-0.06
100	180	-0.04
100	170	-0.04
100	160	-0.02
100	150	-0.01
100	140	0.00
100	130	0.00
100	120	0.01
100	110	0.02
100	100	0.02
100	90	0.02
100	80	0.02
100	70	0.02
100	60	0.00
100	50	0.00
100	40	-0.01
100	30	-0.02
100	20	-0.03
100	10	-0.04
100	0	-0.05
110	0	-0.05
110	10	-0.05
110	20	-0.03
110	30	-0.02
110	40	-0.01
110	50	0.00
110	60	0.00
110	70	0.16
110	80	0.02
110	90	0.01
110	100	0.01
110	110	0.01
110	120	0.01
110	130	0.00
110	140	-0.01
110	150	-0.01
110	160	-0.03
110	170	-0.04
110	180	-0.04
110	190	-0.05
110	200	-0.07
110	210	-0.09
120	210	-0.10
120	200	-0.08
120	190	-0.06
120	180	-0.06
120	170	-0.05
120	160	-0.04
120	150	-0.03
120	140	-0.02
120	130	-0.02
120	120	-0.01
120	110	0.00
120	100	0.00
120	90	0.00
120	80	0.00
120	70	0.00
120	60	-0.01
120	50	-0.02
120	40	-0.02
120	30	-0.03
120	20	-0.04
120	10	-0.05
120	0	-0.06
130	0	-0.06
130	10	-0.05
130	20	-0.05
130	30	-0.04
130	40	-0.03
130	50	-0.02
130	60	-0.02
130	70	-0.01
130	80	-0.01
130	90	-0.01
130	100	0.00
130	110	0.00
130	120	-0.01
130	130	-0.02
130	140	-0.03
130	150	-0.03
130	160	-0.04
130	170	-0.05
130	180	-0.06
130	190	-0.08
130	200	-0.09
130	210	-0.10
140	210	-0.11
140	200	-0.09
140	190	-0.08
140	180	-0.07
140	170	-0.07
140	160	-0.05
140	150	-0.04
140	140	-0.03
140	130	-0.03
140	120	-0.02
140	110	-0.02
140	100	-0.01
140	90	-0.02
140	80	-0.02
140	70	-0.02
140	60	-0.03
140	50	-0.03
140	40	-0.04
140	30	-0.04
140	20	-0.05
140	10	-0.05
140	0	0.48
150	0	-0.06
150	10	-0.06
150	20	-0.04
150	30	-0.04
150	40	-0.03
150	50	-0.03
150	60	-0.03
150	70	-0.02
150	80	-0.02
150	90	-0.02
150	100	-0.02
150	110	-0.02
150	120	-0.02
150	130	-0.03
150	140	-0.04
150	150	-0.04
150	160	-0.04
150	170	-0.06
150	180	-0.07
150	190	-0.07
150	200	-0.09
150	210	-0.11
160	210	-0.12
160	200	-0.10
160	190	-0.08
160	180	-0.07
160	170	-0.06
160	160	-0.06
160	150	-0.05
160	140	-0.04
160	130	-0.03
160	120	-0.03
160	110	-0.02
160	100	-0.02
160	90	-0.03
160	80	-0.03
160	70	-0.03
160	60	-0.03
160	50	-0.03
160	40	-0.04
160	30	-0.04
